Acrocephalus tangorum,16.39,B
Acrocephalus vaughani,24.37,B
Acrochordus arafurae,1694.0,R
Acrochordus granulatus,301.0,R
Acrochordus javanicus,2421.0,R
Acropternis orthonyx,89.86,B
Acryllium vulturinum,1330.0,B
Actenoides bougainvillei,188.0,B
Actenoides concretus,73.47,B
Actenoides hombroni,117.0,B
Actenoides lindsayi,92.84,B
Actenoides monachus,106.0,B
Actenoides princeps,105.0,B
Actinemys marmorata,1816.0,R
Actinodura egertoni,36.0,B
Actinodura morrisoniana,23.97,B
Actinodura nipalensis,43.87,B
Actinodura ramsayi,38.4,B
Actinodura sodangorum,38.1,B
Actinodura souliei,39.34,B
Actinodura waldeni,46.73,B
Actitis hypoleucos,48.0,B
Actitis macularius,40.4,B
Actophilornis africanus,189.09,B
Actophilornis albinucha,239.0,B
Acutotyphlops banaorum,20.0,R
Acutotyphlops infralabialis,30.0,R
Acutotyphlops kunuaensis,31.0,R
Acutotyphlops solomonis,61.0,R
Acutotyphlops subocularis,37.0,R
Addax nasomaculatus,86925.8933333,M
Adelastes hylonomos,2.55757097076,A
Adelomyia melanogenys,4.93,B
Adelophis copei,6.0,R
Adelophis foxi,17.0,R
Adelophryne adiastola,1.01671279834,A
Adelophryne baturitensis,0.945489686668,A
Adelophryne gutturosa,0.915634520327,A
Adelophryne maranguapensis,1.05838549214,A
Adelophryne pachydactyla,0.486903850087,A
Adelophryne patamona,1.71374882568,A
Adelotus brevis,5.42,A
Adelphicos daryi,41.0,R
Adelphicos ibarrorum,32.0,R
Adelphicos latifasciatum,21.0,R
Adelphicos nigrilatum,22.0,R
Adelphicos quadrivirgatum,15.0,R
Adelphicos veraepacis,24.0,R
Adelphobates castaneoticus,1.67532296331,A
Adelphobates galactonotus,4.55380615486,A
Adelphobates quinquevittatus,1.04790127967,A
Adenomus dasi,2.26060370146,A
Adenomus kandianus,3.06438901801,A
Adenomus kelaartii,6.55302704881,A
Adercosaurus vixadnexus,4.0,R
Adolfus africanus,7.0,R
Adolfus alleni,8.0,R
Adolfus jacksoni,17.0,R
Adolfus masavaensis,4.0,R
Aechmophorus clarkii,1090.93,B
Aechmophorus occidentalis,1136.95,B
Aegithalos caudatus,8.6,B
Aegithalos concinnus,6.1,B
Aegithalos fuliginosus,5.65,B
